# x_rms,y_rms,z_rms,x_mean,y_mean,z_mean,x_std,y_std,z_std,label
1.390625757034356647e-01,3.393457958106257943e-01,9.303257660112286276e-01,-1.275910976675873609e-01,3.380264407220510692e-01,9.302825591351516765e-01,5.530742949418242238e-02,2.989472373394040303e-02,8.966106921749752642e-03,0.000000000000000000e+00
1.512740992854773314e-01,3.614852823795875469e-01,9.200242048491535929e-01,-1.447684287972626493e-01,3.592210588975714436e-01,9.199373083241138005e-01,4.388570539713759766e-02,4.039604215214231964e-02,1.264461394040746964e-02,0.000000000000000000e+00
3.046184062916371463e-02,3.872529450611015278e-01,9.214701475397816255e-01,2.351274971312841341e-02,3.859357083537418576e-01,9.213666998371742300e-01,1.936683596885017608e-02,3.191351556930106109e-02,1.380714446008303627e-02,0.000000000000000000e+00
6.312136950674092362e-02,4.009189802453750340e-01,9.139363566412063156e-01,-5.927168085115139262e-02,4.000564045775742983e-01,9.138616494489014697e-01,2.170656899387317720e-02,2.628501241117468801e-02,1.168544638151845956e-02,0.000000000000000000e+00
6.414217531548380147e-02,4.049257000642819682e-01,9.120970117116100617e-01,-6.131982580859503956e-02,4.048889908398325965e-01,9.120950930250969479e-01,1.881748168607641145e-02,5.452308616611691722e-03,1.870842801613957019e-03,0.000000000000000000e+00
8.370408126046507968e-02,3.811154614825005837e-01,9.207304881447785361e-01,-6.174544266549141652e-02,3.806682504539726786e-01,9.207140187944528043e-01,5.651436569316734687e-02,1.845746670946270956e-02,5.507031386343144881e-03,0.000000000000000000e+00
5.552235330823081239e-02,4.025920600111437819e-01,9.136940962374111574e-01,-4.034063237749628550e-02,4.019519974236127613e-01,9.136384260624241804e-01,3.814924765008750884e-02,2.269269819092486692e-02,1.008602603981934367e-02,0.000000000000000000e+00
5.037108502407189325e-02,3.910221776161759144e-01,9.190018554963865771e-01,-4.778205889288984071e-02,3.909647583601282839e-01,9.189983441611312420e-01,1.594117481425650490e-02,6.700828911612079913e-03,2.540439902959343819e-03,0.000000000000000000e+00
5.929406464717201786e-02,3.856765907036602825e-01,9.207267679832157325e-01,-5.806168829496269335e-02,3.856576627686180703e-01,9.207261629169735118e-01,1.202607395294105763e-02,3.820963837247354049e-03,1.055557201193622462e-03,0.000000000000000000e+00
5.049722056084798849e-02,3.883446880727919326e-01,9.201295745498430101e-01,-4.899920705628935114e-02,3.882205000089714031e-01,9.201230797102099013e-01,1.220848034055890818e-02,9.820393430930588266e-03,3.457187567047798494e-03,0.000000000000000000e+00
8.877612503714846226e-02,3.710557743022496191e-01,9.243572967096362891e-01,-8.680680590969741539e-02,3.710104994640008869e-01,9.243513124109489221e-01,1.859512904949943077e-02,5.796285924157218612e-03,3.326142586047322464e-03,0.000000000000000000e+00
1.676238412468066541e-01,3.874583110430084298e-01,9.065198867368352564e-01,-1.609530492326890494e-01,3.874045435378328239e-01,9.064768890349141905e-01,4.681739096782532722e-02,6.454645036258291682e-03,8.829195600305697264e-03,0.000000000000000000e+00
6.034326846370492714e-02,3.964512847068602519e-01,9.160704496955445197e-01,-7.452376639560299824e-03,3.963360312254649021e-01,9.160640597775003835e-01,5.988131704718009651e-02,9.558843976510458459e-03,3.421577028404871636e-03,0.000000000000000000e+00
6.833931828681394371e-02,4.631720530694045102e-01,8.836296661110729644e-01,-1.988739382234710194e-04,4.581559745089336944e-01,8.828579325106374887e-01,6.833902891513135569e-02,6.798127511525910160e-02,3.692232163081243801e-02,0.000000000000000000e+00
1.380992894388764491e-01,4.239524445110308681e-01,8.950938001402974908e-01,-3.051209307187574896e-02,3.665064140221279687e-01,8.891273396218886127e-01,1.346863984220224020e-01,2.130932276904153322e-01,1.031769595719001509e-01,0.000000000000000000e+00
8.221019843093227419e-02,5.225423448601371756e-01,8.486406666558091727e-01,-4.992427979628948770e-02,5.182858128667057196e-01,8.477017865102842720e-01,6.531525865274560860e-02,6.656063666333562889e-02,3.990817271297332491e-02,0.000000000000000000e+00
5.848620140394658606e-02,4.773998583271281126e-01,8.767375545250556401e-01,-5.069422993638807856e-02,4.763354799658077177e-01,8.765432242114193917e-01,2.916728999786607698e-02,3.186118730533559623e-02,1.845848324279227015e-02,0.000000000000000000e+00
1.056685002358760256e-01,4.902706467086075381e-01,8.651409486516196123e-01,8.908302301517199984e-02,4.865003997998262886e-01,8.640960663512066153e-01,5.683350202633712794e-02,6.068499006085005532e-02,4.250704824138853283e-02,0.000000000000000000e+00
1.306784470132746345e-01,4.396092014541659321e-01,8.886320349182946776e-01,-1.135406635825689653e-01,4.001491174195663247e-01,8.865369591331363486e-01,6.469446828772248970e-02,1.820355290362615508e-01,6.098453553156860801e-02,0.000000000000000000e+00
9.041128069482722018e-02,3.989686818361586895e-01,9.124964609449394137e-01,-7.812011402314121555e-02,3.985492143001667653e-01,9.124462523912139078e-01,4.551315701959435939e-02,1.829023965949641561e-02,9.572237683436733355e-03,0.000000000000000000e+00
9.745523237110353953e-02,4.349500030927290761e-01,8.951653324906685416e-01,-7.893097024608040913e-02,4.293363570821078223e-01,8.943848710242882083e-01,5.716138777634912488e-02,6.965484676481510651e-02,3.737211495214778217e-02,0.000000000000000000e+00
1.306517265304299735e-01,4.072989692122931937e-01,9.039013641062950688e-01,-1.175511845615052620e-01,4.058090746472035604e-01,9.038535531780450549e-01,5.702273803991864121e-02,3.480582214769542548e-02,9.296797332624949159e-03,0.000000000000000000e+00
5.092038805676230712e-02,4.112330616347025236e-01,9.101068525721018876e-01,-4.462713763530028882e-02,4.107109852229835489e-01,9.100558106235711042e-01,2.452151109396047066e-02,2.071515384005631968e-02,9.638705772711845046e-03,0.000000000000000000e+00
3.846972448132352645e-02,4.010449577998030923e-01,9.152502510907523092e-01,-3.347543052024586768e-02,4.001692117930245041e-01,9.151683115445857775e-01,1.895561270846009977e-02,2.648886765407909918e-02,1.224678187595161331e-02,0.000000000000000000e+00
8.280384588823495873e-02,4.100762687167799903e-01,9.082846343197933381e-01,-7.384794557623512723e-02,4.096769052291699409e-01,9.082072861793665242e-01,3.745607865289663635e-02,1.809363110396744467e-02,1.185336543564939789e-02,0.000000000000000000e+00
6.368215967559795465e-02,4.006477364532228247e-01,9.140163969065109306e-01,-6.240931723039835205e-02,3.997731124227961730e-01,9.139486631502787839e-01,1.266864569651620330e-02,2.645878509836518608e-02,1.112721617380539249e-02,0.000000000000000000e+00
6.114991550307129209e-02,3.928367728826885341e-01,9.175728623412324758e-01,-4.541086634388955684e-02,3.924826034664263275e-01,9.175183587067924362e-01,4.095320969020813107e-02,1.667741302183952876e-02,1.000095700801402129e-02,0.000000000000000000e+00
6.281023748101995097e-02,3.711258580122207551e-01,9.264558659657083917e-01,-5.565202575820244607e-02,3.700835286830796989e-01,9.264162757000581339e-01,2.912006115087149155e-02,2.779540038904129359e-02,8.564794235995638536e-03,0.000000000000000000e+00
2.809201502149770088e-02,4.079391390133802475e-01,9.125768447385973481e-01,-2.727233385326037138e-02,4.067984189227733527e-01,9.124663221523059420e-01,6.736550613211540577e-03,3.048585739174395140e-02,1.420241144659622340e-02,0.000000000000000000e+00
4.672511356401393839e-02,3.741950945347614077e-01,9.261721195266844342e-01,-3.325835406923854237e-02,3.696825469876260928e-01,9.259781125746689989e-01,3.281947778644814934e-02,5.793775303392979109e-02,1.895600224743254278e-02,0.000000000000000000e+00
1.322225230689891839e-01,3.403932657553885854e-01,9.309401855230292622e-01,-1.263296798991124514e-01,3.395879910003502533e-01,9.309080431007069611e-01,3.903341623938597071e-02,2.340025085260013030e-02,7.735910551747724254e-03,0.000000000000000000e+00
7.741741123220184650e-02,4.613269023679612002e-01,8.838461594585822478e-01,-1.421325284155811573e-02,4.574011531025101718e-01,8.833565035289296929e-01,7.610150462085353562e-02,6.005577398479225448e-02,2.941634346463820049e-02,0.000000000000000000e+00
5.059210997073684130e-02,4.737338196543199875e-01,8.792136864974503530e-01,2.896300829648601124e-02,4.724878426541770371e-01,8.790502303199142498e-01,4.148139030588069570e-02,3.433613880845240440e-02,1.695284928685518097e-02,0.000000000000000000e+00
1.024377680467098567e-01,4.822262366822295254e-01,8.700369879108030835e-01,-9.478188590010720727e-02,4.816554256182316585e-01,8.699573454919167226e-01,3.885730854820736158e-02,2.345622129043221232e-02,1.177188844495987569e-02,0.000000000000000000e+00
6.954237245734436190e-02,4.863630821807254923e-01,8.709849658430786068e-01,-6.766923190468275562e-02,4.861590516206442669e-01,8.709422658758984026e-01,1.603173791035374454e-02,1.408631377085135111e-02,8.624397696358376136e-03,0.000000000000000000e+00
9.275001636981550224e-02,4.657589917677998348e-01,8.800374969572839490e-01,-9.029234369196008358e-02,4.640392272594471845e-01,8.797403505959162651e-01,2.120986108426931027e-02,3.998792288944980761e-02,2.286726009419656064e-02,0.000000000000000000e+00
6.003300388673769861e-02,4.274269353264181226e-01,9.020544625474676836e-01,-5.486578067651695645e-02,4.234807887982081076e-01,9.015586601137147715e-01,2.436611717983401537e-02,5.794658369033965639e-02,2.990377527611577310e-02,0.000000000000000000e+00
7.972051475182528879e-02,4.192352014763414680e-01,9.043707676449938004e-01,-7.794383043473374073e-02,4.176968186309880093e-01,9.041941582048651505e-01,1.673677894510972389e-02,3.588205488067944260e-02,1.787203511049589855e-02,0.000000000000000000e+00
9.120538092233820837e-02,3.803020306613461576e-01,9.203542491702136896e-01,-1.947851836132119888e-02,3.798839626607088960e-01,9.203272056329950823e-01,8.910111577099631697e-02,1.782721061581331312e-02,7.055390664611798680e-03,0.000000000000000000e+00
